Company Name,lat,lon,formatted,link
Mlinda Charitable Trust,23.4559809,85.2557301,"Jharkhand, India",https://mlinda.in/
Shamsina,30.0443879,31.2357257,"Cairo, Egypt",https://shamsinasolar.com/
De Novo Foodlabs,35.7803977,-78.6390989,"Raleigh, NC, United States of America",https://denovofoodlabs.com/
"Symmetry Wood, PBC",34.0536909,-118.242766,"Los Angeles, CA, United States of America",https://www.symmetrywood.com/
Build up Nepal Engineering,27.708317,85.3205817,"Kathmandu Metropolitan City, Bagamati Province, Nepal",https://www.buildupnepal.com/
OGA Street Tech,30.2262187,-92.0178202,"Lafayette, LA, United States of America",https://www.ogastreettech.io/
"Roca Water, Inc.",37.7652076,-122.241635,"Alameda, CA, United States of America",
